title,media-type,media-format,platform,publisher,gameid,creator,date,objectid,filename,language,description,franchise ,genre,rights,youtubeid,internetarchivelink
Arnold Palmer's Tournament Golf Box Art,Box Art,application/pdf,Sega Genesis ,Sega,Arnold Palmer's Tournament Golf ,"Sega of America, ",1989,sgaptgb.pdf,SgAPTGb.pdf,English,This is the packaging and accompanying box artwork for Arnold Palmer's Tournament Golf. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual.,N/A,Sports,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=FkVJ7ES_y30,https://archive.org/details/Arnold_Palmer_Tournament_Golf_UE_h1C
Sonic the Hedgehog Box Art,Box Art,application/pdf,Sega Genesis ,Sega,Sonic the Hedgehog ,"Sega of America, Greg Martin","1991, 1992",sgsthb.pdf,SgSTHb.pdf,English,This is the packaging and accompanying box artwork for Sonic the Hedgehog. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual.,Sonic the Hedgehog ,"Platform, Action",Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=BETxNmSMNMc&list=PLDgypNs3MY2RnGoNdlFNuRYBIsjVHRkax&index=1,https://archive.org/details/sonic1_bin
Caesar's Palace Box Art,Box Art,application/pdf,Sega Genesis ,Virgin Interactive ,Caesar's Palace,Virgin Interactive ,1993,sgcpb.pdf,SgCPb.pdf,English,This is the packaging and accompanying box artwork for Caesar's Palace. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual.,Caesar's Palace ,Gambling,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=Mg0W1kE_pzs,
Sonic the Hedgehog 3 Box Art,Box Art,application/pdf,Sega Genesis ,Sega,Sonic the Hedgehog 3,"Sega of America, Greg Martin",1994,sgsth3b.pdf,SgSTH3b.pdf,English,This is the packaging and accompanying box artwork for Sonic the Hedgehog 3. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual.,Sonic the Hedgehog ,"Platform, Action",Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=Q260BqrWHgo,https://archive.org/details/sonic_bin
Sonic CD Box Art,Box Art,application/pdf,Sega Genesis/CD,Sega,Sonic CD,"Sega of America, Greg Martin",1993,sgscdb.pdf,SgSCDb.pdf,English,This is the packaging and accompanying box artwork for Sonic CD. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual.,Sonic the Hedgehog ,"Platform, Action",Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=ct6hfxnShDE,
Arnold Palmer's Tournament Golf Cartridge ,Cartridge ,application/pdf,Sega Genesis ,Sega,Arnold Palmer's Tournament Golf ,Sega Enterprises ,1989,sgaptgc.pdf,SgAPTGc.pdf,English,This is the physical storage cartridge for Arnold Palmer's Tournament Golf. The game is stored on this disc and loaded into the system to play.,N/A,Sports,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=FkVJ7ES_y30,https://archive.org/details/Arnold_Palmer_Tournament_Golf_UE_h1C
Sonic the Hedgehog Cartridge ,Cartridge ,application/pdf,Sega Genesis ,Sega,Sonic the Hedgehog ,Sega Enterprises ,"1991, 1992",sgsthc.pdf,SgSTHc.pdf,English,This is the physical storage cartridge for Sonic the Hedgehog. The game is stored on this disc and loaded into the system to play.,Sonic the Hedgehog ,"Platform, Action",Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=BETxNmSMNMc&list=PLDgypNs3MY2RnGoNdlFNuRYBIsjVHRkax&index=1,https://archive.org/details/sonic1_bin
Caesar's Palace Cartridge ,Cartridge ,application/pdf,Sega Genesis ,Virgin Interactive ,Caesar's Palace,Virgin Interactive ,1993,sgcpc.pdf,SgCPc.pdf,English,This is the physical storage cartridge for Caesar's Palace. The game is stored on this disc and loaded into the system to play.,Caesar's Palace ,Gambling,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=Mg0W1kE_pzs,
Sonic the Hedgehog 3 Cartridge ,Cartridge ,application/pdf,Sega Genesis ,Sega,Sonic the Hedgehog 3,Sega Enterprises ,1994,sgsth3c.pdf,SgSTH3c.pdf,English,This is the physical storage cartridge for Sonic the Hedgehog 3. The game is stored on this disc and loaded into the system to play.,Sonic the Hedgehog ,"Platform, Action",Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=Q260BqrWHgo,https://archive.org/details/sonic_bin
Sonic CD Disc,Disc,image/jpeg,Sega Genesis/CD,Sega,Sonic CD,Sega Enterprises ,1993,sgscdd.jpg,SgSCDd.jpg,English,This is the optical storage disc for Sonic CD. The game is stored on this disc and loaded into the system to play.,Sonic the Hedgehog ,"Platform, Action",Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=ct6hfxnShDE,
